record_ID,units_sold
212645,17.0
212646,20.0
212647,29.0
212648,31.0
212649,21.0
212653,25.0
212654,46.0
212657,18.0
212658,12.0
212661,182.0
212662,93.0
212663,52.0
212666,76.0
212667,91.0
212668,112.0
212671,46.0
212672,114.0
212673,75.0
212674,404.0
212675,23.0
212676,11.0
212677,83.0
212678,62.0
212679,38.0
212681,42.0
212682,90.0
212683,26.0
212686,83.0
212687,80.0
212688,26.0
212689,4.0
212691,23.0
212692,53.0
212693,34.0
212694,41.0
212695,43.0
212696,40.0
212697,82.0
212698,34.0
212699,174.0
212700,19.0
212701,15.0
212702,41.0
212703,56.0
212704,29.0
212705,28.0
212706,35.0
212707,42.0
212709,7.0
212710,14.0
212711,35.0
212712,38.0
212713,24.0
212716,27.0
212717,31.0
212718,19.0
212719,29.0
212721,73.0
212722,29.0
212723,138.0
212724,12.0
212725,9.0
212727,33.0
212728,60.0
212729,32.0
212731,32.0
212732,41.0
212734,6.0
212735,5.0
212736,13.0
212737,257.0
212738,213.0
212739,74.0
212740,20.0
212742,87.0
212743,108.0
212744,210.0
212748,234.0
212749,105.0
212750,547.0
212751,43.0
212752,24.0
212754,115.0
212755,97.0
212756,85.0
212757,46.0
212758,65.0
212759,127.0
212760,10.0
212761,98.0
212763,11.0
212764,94.0
212765,85.0
212767,51.0
212768,52.0
212769,61.0
212772,39.0
212773,56.0
212774,32.0
212775,206.0
212776,11.0
212777,8.0
212778,54.0
212779,29.0
212782,44.0
212783,59.0
212787,196.0
212788,109.0
212789,70.0
212790,18.0
212792,91.0
212793,101.0
212794,124.0
212796,141.0
212797,117.0
212798,470.0
212799,28.0
212800,11.0
212802,92.0
212803,72.0
212805,53.0
212806,63.0
212807,104.0
212809,39.0
212812,37.0
212816,16.0
212817,27.0
212818,34.0
212819,24.0
212820,26.0
212821,34.0
212822,54.0
212823,25.0
212824,129.0
212825,16.0
212826,10.0
212828,43.0
212829,52.0
212830,30.0
212831,32.0
212832,33.0
212833,31.0
212834,31.0
212835,26.0
212837,8.0
212838,22.0
212839,27.0
212840,25.0
212843,47.0
212844,17.0
212845,84.0
212846,10.0
212849,38.0
212850,27.0
212853,28.0
212856,39.0
212857,22.0
212860,11.0
212861,45.0
212862,53.0
212863,12.0
212866,100.0
212867,43.0
212868,262.0
212869,25.0
212870,27.0
212872,41.0
212873,63.0
212874,27.0
212875,34.0
212876,38.0
